t = 6.8e-12, u =     996.556 1.11853e+08 1.78158e+22     424.069 1.78158e+22     10889.3, Te = 1149.36, T = 300
t = 6.9e-12, u =     996.556 1.11853e+08 1.80798e+22     432.735 1.80798e+22     11050.6, Te = 1155.73, T = 300
t = 7e-12, u =     996.556 1.11853e+08 1.83437e+22     441.476 1.83437e+22     11211.9, Te = 1162.11, T = 300
t = 7.1e-12, u =     996.556 1.11854e+08 1.86076e+22     450.292 1.86076e+22     11373.2, Te = 1168.5, T = 300
t = 7.2e-12, u =     996.556 1.11854e+08 1.88716e+22     459.183 1.88716e+22     11534.6, Te = 1174.91, T = 300
t = 7.3e-12, u =     996.556 1.11854e+08 1.91355e+22     468.148 1.91355e+22     11695.9, Te = 1181.32, T = 300
t = 7.4e-12, u =     996.556 1.11854e+08 1.93994e+22     477.186 1.93994e+22     11857.2, Te = 1187.75, T = 300
t = 7.5e-12, u =     996.556 1.11854e+08 1.96634e+22     486.298 1.96634e+22     12018.5, Te = 1194.18, T = 300
t = 7.6e-12, u =     996.556 1.11854e+08 1.99273e+22     495.484 1.99273e+22     12179.9, Te = 1200.62, T = 300
t = 7.7e-12, u =     996.556 1.11854e+08 2.01912e+22     504.742 2.01912e+22     12341.2, Te = 1207.07, T = 300
t = 7.8e-12, u =     996.556 1.11854e+08 2.04552e+22     514.073 2.04552e+22     12502.5, Te = 1213.52, T = 300
t = 7.9e-12, u =     996.556 1.11854e+08 2.07191e+22     523.476 2.07191e+22     12663.8, Te = 1219.97, T = 300
t = 8e-12, u =     996.556 1.11854e+08 2.09831e+22      532.95 2.09831e+22     12825.1, Te = 1226.43, T = 300
t = 8.1e-12, u =     996.556 1.11854e+08  2.1247e+22     542.497  2.1247e+22     12986.5, Te = 1232.89, T = 300
t = 8.2e-12, u =     996.556 1.11854e+08 2.15109e+22     552.114 2.15109e+22     13147.8, Te = 1239.35, T = 300
t = 8.3e-12, u =     996.556 1.11854e+08 2.17749e+22     561.802 2.17749e+22     13309.1, Te = 1245.81, T = 300
t = 8.4e-12, u =     996.556 1.11854e+08 2.20388e+22      571.56 2.20388e+22     13470.4, Te = 1252.28, T = 300
t = 8.5e-12, u =     996.556 1.11854e+08 2.23027e+22     581.389 2.23027e+22     13631.7, Te = 1258.73, T = 300
t = 8.6e-12, u =     996.556 1.11854e+08 2.25667e+22     591.287 2.25667e+22     13793.1, Te = 1265.19, T = 300
t = 8.7e-12, u =     996.556 1.11854e+08 2.28306e+22     601.255 2.28306e+22     13954.4, Te = 1271.65, T = 300
t = 8.8e-12, u =     996.556 1.11854e+08 2.30945e+22     611.291 2.30945e+22     14115.7, Te = 1278.1, T = 300
t = 8.9e-12, u =     996.556 1.11854e+08 2.33585e+22     621.396 2.33585e+22       14277, Te = 1284.55, T = 300
t = 9e-12, u =     996.556 1.11854e+08 2.36224e+22     631.569 2.36224e+22     14438.3, Te = 1290.99, T = 300
t = 9.1e-12, u =     996.556 1.11854e+08 2.38863e+22      641.81 2.38863e+22     14599.7, Te = 1297.42, T = 300
t = 9.2e-12, u =     996.556 1.11854e+08 2.41503e+22     652.118 2.41503e+22       14761, Te = 1303.86, T = 300
t = 9.3e-12, u =     996.556 1.11854e+08 2.44142e+22     662.493 2.44142e+22     14922.3, Te = 1310.28, T = 300
t = 9.4e-12, u =     996.556 1.11854e+08 2.46781e+22     672.936 2.46781e+22     15083.6, Te = 1316.7, T = 300
