t = 7.95e-12, u =     996.556 1.11854e+08 2.09171e+22     530.577 2.09171e+22     12784.8, Te = 1224.82, T = 300
t = 8e-12, u =     996.556 1.11854e+08  2.1049e+22     535.332  2.1049e+22     12865.5, Te = 1228.05, T = 300
t = 8.05e-12, u =     996.556 1.11854e+08  2.1181e+22     540.105  2.1181e+22     12946.1, Te = 1231.28, T = 300
t = 8.1e-12, u =     996.556 1.11854e+08  2.1313e+22     544.896  2.1313e+22     13026.8, Te = 1234.51, T = 300
t = 8.15e-12, u =     996.556 1.11854e+08 2.14449e+22     549.705 2.14449e+22     13107.5, Te = 1237.74, T = 300
t = 8.2e-12, u =     996.556 1.11854e+08 2.15769e+22     554.531 2.15769e+22     13188.1, Te = 1240.97, T = 300
t = 8.25e-12, u =     996.556 1.11854e+08 2.17089e+22     559.375 2.17089e+22     13268.8, Te = 1244.2, T = 300
t = 8.3e-12, u =     996.556 1.11854e+08 2.18408e+22     564.237 2.18408e+22     13349.4, Te = 1247.43, T = 300
t = 8.35e-12, u =     996.556 1.11854e+08 2.19728e+22     569.116 2.19728e+22     13430.1, Te = 1250.66, T = 300
t = 8.4e-12, u =     996.556 1.11854e+08 2.21048e+22     574.013 2.21048e+22     13510.8, Te = 1253.89, T = 300
t = 8.45e-12, u =     996.556 1.11854e+08 2.22367e+22     578.927 2.22367e+22     13591.4, Te = 1257.12, T = 300
t = 8.5e-12, u =     996.556 1.11854e+08 2.23687e+22     583.859 2.23687e+22     13672.1, Te = 1260.35, T = 300
t = 8.55e-12, u =     996.556 1.11854e+08 2.25007e+22     588.808 2.25007e+22     13752.7, Te = 1263.58, T = 300
t = 8.6e-12, u =     996.556 1.11854e+08 2.26327e+22     593.774 2.26327e+22     13833.4, Te = 1266.81, T = 300
t = 8.65e-12, u =     996.556 1.11854e+08 2.27646e+22     598.758 2.27646e+22     13914.1, Te = 1270.04, T = 300
t = 8.7e-12, u =     996.556 1.11854e+08 2.28966e+22     603.759 2.28966e+22     13994.7, Te = 1273.26, T = 300
t = 8.75e-12, u =     996.556 1.11854e+08 2.30286e+22     608.777 2.30286e+22     14075.4, Te = 1276.49, T = 300
t = 8.8e-12, u =     996.556 1.11854e+08 2.31605e+22     613.812 2.31605e+22       14156, Te = 1279.71, T = 300
t = 8.85e-12, u =     996.556 1.11854e+08 2.32925e+22     618.865 2.32925e+22     14236.7, Te = 1282.94, T = 300
t = 8.9e-12, u =     996.556 1.11854e+08 2.34245e+22     623.934 2.34245e+22     14317.4, Te = 1286.16, T = 300
t = 8.95e-12, u =     996.556 1.11854e+08 2.35564e+22     629.021 2.35564e+22       14398, Te = 1289.38, T = 300
t = 9e-12, u =     996.556 1.11854e+08 2.36884e+22     634.124 2.36884e+22     14478.7, Te = 1292.6, T = 300
t = 9.05e-12, u =     996.556 1.11854e+08 2.38204e+22     639.245 2.38204e+22     14559.3, Te = 1295.82, T = 300
t = 9.1e-12, u =     996.556 1.11854e+08 2.39523e+22     644.382 2.39523e+22       14640, Te = 1299.04, T = 300
t = 9.15e-12, u =     996.556 1.11854e+08 2.40843e+22     649.536 2.40843e+22     14720.7, Te = 1302.25, T = 300
t = 9.2e-12, u =     996.556 1.11854e+08 2.42163e+22     654.707 2.42163e+22     14801.3, Te = 1305.47, T = 300
t = 9.25e-12, u =     996.556 1.11854e+08 2.43482e+22     659.895 2.43482e+22       14882, Te = 1308.68, T = 300
t = 9.3e-12, u =     996.556 1.11854e+08 2.44802e+22     665.099 2.44802e+22     14962.6, Te = 1311.89, T = 300
t = 9.35e-12, u =     996.556 1.11854e+08 2.46122e+22      670.32 2.46122e+22     15043.3, Te = 1315.1, T = 300
t = 9.4e-12, u =     996.556 1.11854e+08 2.47441e+22     675.557 2.47441e+22       15124, Te = 1318.3, T = 300
t = 9.45e-12, u =     996.556 1.11854e+08 2.48761e+22     680.812 2.48761e+22     15204.6, Te = 1321.51, T = 300
t = 9.5e-12, u =     996.556 1.11854e+08 2.50081e+22     686.082 2.50081e+22     15285.3, Te = 1324.71, T = 300
t = 9.55e-12, u =     996.556 1.11854e+08   2.514e+22     691.369   2.514e+22     15365.9, Te = 1327.91, T = 300
t = 9.6e-12, u =     996.556 1.11854e+08  2.5272e+22     696.673  2.5272e+22     15446.6, Te = 1331.11, T = 300
t = 9.65e-12, u =     996.556 1.11854e+08  2.5404e+22     701.993  2.5404e+22     15527.3, Te = 1334.31, T = 300
t = 9.7e-12, u =     996.556 1.11854e+08 2.55359e+22     707.329 2.55359e+22     15607.9, Te = 1337.5, T = 300
t = 9.75e-12, u =     996.556 1.11854e+08 2.56679e+22     712.681 2.56679e+22     15688.6, Te = 1340.7, T = 300
t = 9.8e-12, u =     996.556 1.11854e+08 2.57999e+22      718.05 2.57999e+22     15769.2, Te = 1343.89, T = 300
t = 9.85e-12, u =     996.556 1.11854e+08 2.59318e+22     723.435 2.59318e+22     15849.9, Te = 1347.07, T = 300
t = 9.9e-12, u =     996.556 1.11854e+08 2.60638e+22     728.836 2.60638e+22     15930.6, Te = 1350.26, T = 300
t = 9.95e-12, u =     996.556 1.11854e+08 2.61958e+22     734.253 2.61958e+22     16011.2, Te = 1353.44, T = 300
t = 1e-11, u =     996.556 1.11854e+08 2.63277e+22     739.686 2.63277e+22     16091.9, Te = 1356.62, T = 300
t = 1.005e-11, u =     996.555 1.11854e+08 2.64597e+22     745.136 2.64597e+22     16172.5, Te = 1359.8, T = 300
t = 1.01e-11, u =     996.555 1.11854e+08 2.65917e+22     750.601 2.65917e+22     16253.2, Te = 1362.98, T = 300
t = 1.015e-11, u =     996.555 1.11854e+08 2.67236e+22     756.082 2.67236e+22     16333.9, Te = 1366.15, T = 300
t = 1.02e-11, u =     996.555 1.11854e+08 2.68556e+22     761.579 2.68556e+22     16414.5, Te = 1369.32, T = 300
t = 1.025e-11, u =     996.555 1.11854e+08 2.69876e+22     767.091 2.69876e+22     16495.2, Te = 1372.49, T = 300
t = 1.03e-11, u =     996.555 1.11854e+08 2.71195e+22      772.62 2.71195e+22     16575.8, Te = 1375.65, T = 300
t = 1.035e-11, u =     996.555 1.11854e+08 2.72515e+22     778.164 2.72515e+22     16656.5, Te = 1378.82, T = 300
t = 1.04e-11, u =     996.555 1.11854e+08 2.73835e+22     783.724 2.73835e+22     16737.2, Te = 1381.97, T = 300
t = 1.045e-11, u =     996.555 1.11854e+08 2.75154e+22       789.3 2.75154e+22     16817.8, Te = 1385.13, T = 300
t = 1.05e-11, u =     996.555 1.11854e+08 2.76474e+22     794.891 2.76474e+22     16898.5, Te = 1388.28, T = 300
t = 1.055e-11, u =     996.555 1.11854e+08 2.77794e+22     800.497 2.77794e+22     16979.1, Te = 1391.44, T = 300
t = 1.06e-11, u =     996.555 1.11854e+08 2.79113e+22      806.12 2.79113e+22     17059.8, Te = 1394.58, T = 300
t = 1.065e-11, u =     996.555 1.11854e+08 2.80433e+22     811.757 2.80433e+22     17140.5, Te = 1397.73, T = 300
t = 1.07e-11, u =     996.555 1.11854e+08 2.81753e+22      817.41 2.81753e+22     17221.1, Te = 1400.87, T = 300
