t = 8.8e-12, u =     996.556 1.11854e+08 2.32265e+22     616.318 2.32265e+22     14196.4, Te = 1281.29, T = 300
t = 8.9e-12, u =     996.556 1.11854e+08 2.34904e+22     626.457 2.34904e+22     14357.7, Te = 1287.73, T = 300
t = 9e-12, u =     996.556 1.11854e+08 2.37544e+22     636.664 2.37544e+22       14519, Te = 1294.17, T = 300
t = 9.1e-12, u =     996.556 1.11854e+08 2.40183e+22     646.939 2.40183e+22     14680.3, Te = 1300.61, T = 300
t = 9.2e-12, u =     996.556 1.11854e+08 2.42822e+22     657.281 2.42822e+22     14841.6, Te = 1307.04, T = 300
t = 9.3e-12, u =     996.556 1.11854e+08 2.45462e+22     667.689 2.45462e+22       15003, Te = 1313.46, T = 300
t = 9.4e-12, u =     996.556 1.11854e+08 2.48101e+22     678.165 2.48101e+22     15164.3, Te = 1319.87, T = 300
t = 9.5e-12, u =     996.556 1.11854e+08  2.5074e+22     688.706  2.5074e+22     15325.6, Te = 1326.28, T = 300
t = 9.6e-12, u =     996.556 1.11854e+08  2.5338e+22     699.313  2.5338e+22     15486.9, Te = 1332.68, T = 300
t = 9.7e-12, u =     996.556 1.11854e+08 2.56019e+22     709.986 2.56019e+22     15648.3, Te = 1339.07, T = 300
t = 9.8e-12, u =     996.556 1.11854e+08 2.58659e+22     720.724 2.58659e+22     15809.6, Te = 1345.45, T = 300
t = 9.9e-12, u =     996.556 1.11854e+08 2.61298e+22     731.526 2.61298e+22     15970.9, Te = 1351.82, T = 300
t = 1e-11, u =     996.556 1.11854e+08 2.63937e+22     742.392 2.63937e+22     16132.2, Te = 1358.18, T = 300
t = 1.01e-11, u =     996.555 1.11854e+08 2.66577e+22     753.323 2.66577e+22     16293.5, Te = 1364.53, T = 300
t = 1.02e-11, u =     996.555 1.11854e+08 2.69216e+22     764.317 2.69216e+22     16454.9, Te = 1370.88, T = 300
t = 1.03e-11, u =     996.555 1.11854e+08 2.71855e+22     775.374 2.71855e+22     16616.2, Te = 1377.21, T = 300
